CASEID,OFFICE_NAME,STATE,OFFICE_TYPE,JURIS,ACCR_IACME,ACCR_NAME,FT_TOT,PT_TOT,BUD_TOTAL,BUD_PERS_TOTAL,REP_CASE_NUM,ACC_CASE_NUM,COMPL_AUTO_TOTAL,CMS,WITHIN_BUSNSS
11202065,Crawford County Mh Medical Clinic,IA,Medical examiner office,County Of Crawford Iowa,No,No,0,0,0,Logical skip,7,7,0,No,No
11202067,Davis County Medical Examiner,IA,Medical examiner office,Davis County,No,No,0,0,0,0,17,17,3,No,No
11202068,Decatur County Medical Examiner,IA,Medical examiner office,Decatur County,No,No,0,0,5000,Logical skip,12,8,8,No,Yes
11202073,Emmet County Medical Examiner's Office,IA,Medical examiner office,Emmet County Iowa,No,No,0,0,10000,Logical skip,22,20,0,No,Yes
11202074,Fayette County Medical Examiner,IA,Medical examiner office,Fayette County,No,No,0,0,0,Logical skip,50,40,0,No,No
11202075,Floyd County Medical Examiner,IA,Medical examiner office,Floyd County In Iowa,No,No,0,0,0,Logical skip,29,29,0,No,Yes
11202077,Fremont County Medical Examiner,IA,Medical examiner office,Fremont County,Not in short questionnaire,Not in short questionnaire,0,0,8000,Not in short questionnaire,12,12,0,Yes,Not in short questionnaire
11202079,Grundy County Medical Examiner,IA,Medical examiner office,Grundy County,Not in short questionnaire,Not in short questionnaire,0,0,Blank or nonresponse,Not in short questionnaire,24,20,4,No,Not in short questionnaire
11202080,Guthrie County Medical Examiner,IA,Medical examiner office,Guthrie County,Not in short questionnaire,Not in short questionnaire,0,0,33750,Not in short questionnaire,33,33,0,No,Not in short questionnaire
11202081,Hamilton County Medical Examiner,IA,Medical examiner office,Hamilton County,Not in short questionnaire,Not in short questionnaire,0,0,0,Not in short questionnaire,36,30,0,No,Not in short questionnaire
11202082,Hancock Memorial Hospital,IA,Medical examiner office, ,No,No,0,0,0,Logical skip,14,14,8,Yes,Yes
11202085,Howard County Medical Examiner,IA,Medical examiner office,Howard County Iowa,No,No,0,0,0,Logical skip,16,16,0,No,Yes
11202086,Harrison County Medical Examiner,IA,Medical examiner office,Harrison County,Not in short questionnaire,Not in short questionnaire,0,5,10000,Not in short questionnaire,24,24,0,Yes,Not in short questionnaire
11202088,Jasper County Medical Examiner,IA,Medical examiner office,Jasper County,No,No,0,0,0,Logical skip,58,56,0,No,Yes
11202089,Jefferson County Medical Examiner,IA,Medical examiner office,Jefferson County,No,No,0,0,35000,Logical skip,35,35,0,No,No
11202090,Johnson County Medical Examiner's Office,IA,Medical examiner office,"Johnson County, Iowa",No,Yes,8,1,1009827,360087,781,416,114,Yes,No
11202091,Jones County Medical Examiner,IA,Medical examiner office,Jones County,Yes,No,0,0,8000,Logical skip,42,8,14,No,Yes
11202092,Keokuk County Medical Examiner,IA,Medical examiner office,"Keokuk County, Iowa",Will be by 2020,Will be by 2020,0,0,0,Blank or nonresponse,30,30,0,Yes,Yes
11202093,Kossuth Regional Health Center,IA,Medical examiner office, ,No,No,0,0,5000,Logical skip,10,10,0,No,No
11202096,Lucas County Health Center,IA,Medical examiner office,Lucas County,No,No,0,2,0,Logical skip,14,10,0,No,Yes
11202098,Madison County Medical Examiner,IA,Medical examiner office,Madison County Iowa,Yes,No,0,0,15000,Logical skip,Logical skip,25,0,No,No
11202100,Marion County Medical Examiner,IA,Medical examiner office,Marion County,No,Yes,0,0,0,Logical skip,54,54,0,No,Yes
11202102,Mills County Medical Examiner,IA,Medical examiner office,"Mills County, Ia",No,No,0,0,0,Logical skip,20,20,0,No,Yes
11202103,Mitchell County Medical Examiner,IA,Medical examiner office,Mitchell County,No,No,0,0,10000,Logical skip,Logical skip,Logical skip,2,Yes,Yes
11202104,Monona County Medical Examiner,IA,Medical examiner office,Monona County,No,No,0,1,0,Logical skip,17,12,5,No,Yes
11202105,Monroe County Medical Examiner,IA,Medical examiner office,Monroe County,No,No,0,0,15000,Logical skip,Logical skip,Logical skip,0,No,No
11202107,Muscatine County Medical Examiner,IA,Medical examiner office,Muscatine County,No,No,0,5,154000,47300,90,90,40,Yes,No
11202108,O'Brien County Medical Examiner,IA,Medical examiner office,O'Brien County,No,No,7,0,0,Logical skip,55,12,10,No,Yes
11202110,Palo Alto County Medical Examiner,IA,Medical examiner office,Palo Alto County,Not in short questionnaire,Not in short questionnaire,0,1,0,Not in short questionnaire,10,5,0,No,Not in short questionnaire
11202112,Pathology Medical Services of Siouxland,IA,Medical examiner office,Woodbury County,No,No,0,0,1,Logical skip,Logical skip,Logical skip,54,No,Yes
11202115,Polk County Medical Examiner's Office,IA,Medical examiner office,Polk County (Des Moines) Iowa,No,Yes,11,8,1689977,1262927,3350,1556,190,Yes,No
11202116,Pottawattamie County Medical Examiner's Office,IA,Medical examiner office,"Pottawattamie County, Iowa And All Persons That Die Within The County, Regardless Of City Or Rural Location.",Yes,No,1,0,330000,173700,900,85,0,No,No
11202117,Poweshiek County Medical Examiner,IA,Medical examiner office,State Of Iowa And Poweshiek County,No,No,5,0,40000,Logical skip,31,20,0,Yes,Yes
11202118,Ringgold County Medical Examiner,IA,Medical examiner office,"Ringgold County, Iowa",No,No,0,0,5000,Logical skip,8,8,0,No,No
11202120,Scott County Medical Examiner,IA,Medical examiner office,Scott County Iowa,No,No,0,6,323940,Logical skip,294,294,86,Yes,Yes
11202121,Shelby County Medical Examiner,IA,Medical examiner office,Shelby County,Not in short questionnaire,Not in short questionnaire,0,0,0,Not in short questionnaire,17,17,0,Yes,Not in short questionnaire
11202123,Sioux County Medical Examiner,IA,Medical examiner office,Sioux County,Not in short questionnaire,Not in short questionnaire,0,0,39000,Not in short questionnaire,223,3,5,No,Not in short questionnaire
11202124,Story County Medical Examiner,IA,Medical examiner office,"Story County, Iowa",No,No,0,0,12000,Logical skip,120,120,0,No,Yes
11202126,Taylor and Adams County Medical Examiner's Office,IA,Medical examiner office,"Adams County, Taylor County Iowa",Yes,No,0,0,18900,650,Logical skip,Logical skip,8,No,No
11202127,Union County Medical Examiner,IA,Medical examiner office,Union County,Not in short questionnaire,Not in short questionnaire,0,0,50000,Not in short questionnaire,36,36,0,No,Not in short questionnaire
11202128,Unity Point Buena Vista Clinic,IA,Medical examiner office, ,Not in short questionnaire,Not in short questionnaire,0,0,67000,Not in short questionnaire,35,26,7,Yes,Not in short questionnaire
11202129,Clarke County Medical Examiner's Office,IA,Medical examiner office,Clarke County,No,No,0,0,0,Logical skip,14,14,0,No,Yes
11202130,Van Buren County Medical Examiner's Office,IA,Medical examiner office,"Van Buren County, Iowa",Yes,Yes,0,0,0,Logical skip,4,4,0,Yes,Yes
11202131,Wapello County Medical Examiner,IA,Medical examiner office,Wapello County,No,No,0,0,60000,Logical skip,95,95,0,No,No
11202132,Warren County Medical Examiner,IA,Medical examiner office,Warren County,Not in short questionnaire,Not in short questionnaire,1,0,0,Not in short questionnaire,30,30,0,Yes,Not in short questionnaire
11202133,Washington County Medical Examiner,IA,Medical examiner office,Washington Co. Ia And Louisa Co. Ia,No,No,0,0,97000,3600,68,67,20,No,Yes
11202135,Webster County Medical Examiner's Office,IA,Medical examiner office,Webster County Iowa,No,No,0,2,25000,Logical skip,Logical skip,Logical skip,0,Yes,No
11202137,Winneshiek County Medical Examiner,IA,Medical examiner office,Winneshiek County,No,No,0,0,0,Logical skip,30,28,0,No,No
11202138,Worth County Medical Examiner,IA,Medical examiner office,"Worth County, Iowa",No,No,7,1,27000,Logical skip,20,20,80,No,Yes
11202139,Wright County Medical Examiner,IA,Medical examiner office,"Wright County, Iowa Interim Hamilton County",No,No,0,0,1000,Logical skip,20,20,0,No,No
11300209,Cassia County Coroner,ID,Coroner office,Cassia County In The State Of Idaho Only.,No,No,1,1,68000,37390,145,100,6,No,No
11300211,Clearwater County Coroner,ID,Coroner office,Clearwater County,Yes,No,0,0,44465,17215,Logical skip,Logical skip,2,Yes,Yes
11300212,Custer County Coroner's Office,ID,Coroner office,Custer County,No,No,0,1,39700,14800,25,25,2,Yes,No
11300213,Elmore County Coroner,ID,Coroner office,Elmore County,Blank or nonresponse,Blank or nonresponse,2,0,55839,Logical skip,Logical skip,Logical skip,5,Yes,Yes
11300214,Franklin County Coroner,ID,Coroner office,Franklin County,Yes,No,0,2,44429,7545,8,8,3,Yes,Yes
11300216,Gem County Coroner's Office,ID,Coroner office,Gem County,No,No,1,0,44055,15117,50,38,5,No,Yes
11300217,Gooding County Coroner's Office,ID,Coroner office,Gooding County,Yes,Blank or nonresponse,4,2,30652,30652,Logical skip,Logical skip,5,Yes,No
11300218,Idaho County Coroner,ID,Coroner office,Idaho County,No,No,2,0,31975,7854,159,70,9,Yes,No
11300219,Jefferson County Coroner,ID,Coroner office,"Jefferson County, Idaho",No,No,1,0,20776,10316,27,27,1,No,No
11300220,Jerome County Coroner,ID,Coroner office,Jerome County,No,No,0,1,17000,Blank or nonresponse,34,34,3,No,No
11300221,Kootenai County Coroner,ID,Coroner office,"Kootenai County, Idaho",No,No,2,2,439968,204497,1542,486,41,Yes,No
11300224,Lewis County Coroner,ID,Coroner office,Lewis County In The State Of Idaho,No,No,1,0,12000,Logical skip,15,13,2,Yes,No
11300225,Lincoln County Coroner,ID,Coroner office,Lincoln County Idaho,No,No,1,2,32000,10000,20,20,2,No,No
11300226,Madison County Coroner,ID,Coroner office,Madison County Idaho State,No,No,0,1,23755,2650,60,15,3,No,No
11300227,Minidoka County Coroner,ID,Coroner office,Minidoka County Idaho,No,No,1,0,64000,24000,49,49,5,No,No
11300228,Nez Perce County Coroner,ID,Coroner office,"Nez Perce County, Idaho",No,No,1,1,166189,88989,523,200,9,Yes,No
11300229,Oneida County Coroner,ID,Sheriff-coroner office,Oneida County,Yes,No,0,1,10000,Logical skip,Logical skip,Logical skip,0,Yes,Yes
11300230,Owyhee County Coroner's Office,ID,Coroner office,"Owyhee County, Idaho",No,No,1,1,87971,36921,34,31,7,Yes,No
11300231,Payette County Coroner,ID,Coroner office,Payette County Idaho,No,No,2,0,79365,39365,72,60,9,No,No
11300232,Power County Coroner,ID,Coroner office,"Power County, Idaho",No,No,0,0,62760,44210,18,10,3,No,Yes
11300233,Shoshone County Coroner,ID,Coroner office,Shoshone County,Yes,No,1,3,101814,14914,45,45,21,No,Yes
11300234,Teton County Coroner,ID,Coroner office,Teton County,No,No,0,1,38000,15500,15,10,0,Yes,No
11300235,Twin Falls County Coroner's Office,ID,Coroner office,Twin Falls County,Yes,No,8,1,303701,210351,681,300,18,Yes,No
11300236,Valley County Coroner,ID,Coroner office,Valley County,No,No,1,0,38540,20000,68,54,16,Yes,Yes
11300237,Washington County Coroner,ID,Coroner office,Washington County,Not in short questionnaire,Not in short questionnaire,0,0,22000,Not in short questionnaire,5,5,5,No,Not in short questionnaire
11302140,Ada County Coroner,ID,Coroner office,"Ada County (Investigative And Forensic), 33 Additional Jurisdictions (Forensic Only), 3 Reservations (Forensic Only).",Yes,Yes,24,0,2947365,2549220,3410,2058,550,Yes,No
11302141,Adams County Coroner,ID,Coroner office,"Adams County, Idaho",No,No,2,2,10000,5200,20,15,4,Yes,No
11302142,Bannock County Coroner,ID,Coroner office,Bannock County,No,No,1,0,142116,92206,623,400,0,Yes,No
11302143,Bear Lake County Coroner's Office,ID,Coroner office,Bear Lake County,No,No,1,0,47275,26745,Logical skip,15,5,No,Yes
11302144,Benewah County Coroner's Office,ID,Coroner office,"Idaho State, Benewah County",Will be by 2020,No,4,0,49221,35971,28,10,3,No,Yes
11302145,Bingham County Coroner,ID,Coroner office,"Bingham County, Idaho",No,No,1,0,83662,44417,67,67,0,Yes,No
11302147,Boise County Coroner's Office,ID,Coroner office,Boise County,Not in short questionnaire,Not in short questionnaire,0,5,70000,Not in short questionnaire,58,55,15,Yes,Not in short questionnaire
11302148,Bonner County Coroner,ID,Coroner office,Bonner County,No,No,0,1,139007,76156,104,104,11,No,No
11302150,Boundary County Coroner's Office,ID,Coroner office,Boundary County,Not in short questionnaire,Not in short questionnaire,1,0,86000,Not in short questionnaire,60,35,8,Yes,Not in short questionnaire
11302151,Butte County Coroner,ID,Coroner office,Butte County Idaho,No,No,1,1,24292,14133,24,15,1,No,No
11302152,Camas County Coroner,ID,Coroner office,Camas County,No,No,0,0,25000,10000,3,3,0,Yes,No
11302153,Canyon County Coroner,ID,Coroner office,Canyon County Idaho,No,No,5,0,603325,519475,1091,280,45,Yes,No
11400238,Adams County Coroner,IL,Coroner office,Adams County,No,No,1,1,218415,79959,931,167,77,No,No
11400239,Alexander County Coroner's Office,IL,Coroner office,"Illinois State, Alexander County, Cairo, Tamms, Thebes, Sandusky, Olive Branch, East Cape, Mcclure",Yes,Yes,1,1,31100,Logical skip,Logical skip,Logical skip,13,No,No
11400240,Bond County Coroner,IL,Coroner office,"State Of Illinois, County Of Bond",No,No,1,1,28850,Logical skip,35,35,8,No,No
11400241,Boone County Coroner,IL,Coroner office,Boone County Illinois,No,No,2,0,174119,110508,350,42,39,Yes,No
11400242,Brown County Coroner,IL,Sheriff-coroner office,Brown County,No,No,1,5,16750,8000,25,25,7,No,No
11400243,Bureau County Coroner,IL,Coroner office,"Bureau County, Il",Yes,Yes,0,4,82152,Logical skip,430,330,25,No,No
11400244,Calhoun County Sheriff/Coroner,IL,Sheriff-coroner office,Calhoun County,No,No,2,0,10000,Logical skip,4,4,4,Yes,No
11400245,Carroll County Coroner's Office,IL,Coroner office,Carroll County,Not in short questionnaire,Not in short questionnaire,0,3,26000,Not in short questionnaire,297,20,8,No,Not in short questionnaire
11400246,Cass County Death Examiner,IL,Coroner office,Cass County,Not in short questionnaire,Not in short questionnaire,1,1,32201,Not in short questionnaire,11,Logical skip,0,No,Not in short questionnaire
11400247,Champaign County Coroner,IL,Coroner office,"Champaign County, Illinois",No,No,6,3,572756,357377,1961,736,236,Yes,No
11400248,Christian County Coroner,IL,Coroner office,Christian County,No,No,1,0,108000,57070,Logical skip,Logical skip,10,No,No
11400249,Clark County Coroner,IL,Coroner office,Clark County,No,No,0,5,35000,20000,40,40,15,No,Yes
11400250,Clay County Coroner's Office,IL,Coroner office,Clay County,Not in short questionnaire,Not in short questionnaire,1,2,54728,Not in short questionnaire,124,124,8,Yes,Not in short questionnaire
11400251,Clinton County Coroner,IL,Coroner office,Clinton County,Not in short questionnaire,Not in short questionnaire,1,4,85000,Not in short questionnaire,234,70,8,No,Not in short questionnaire
11400252,Coles County Coroner,IL,Coroner office,Coles County Illinois,No,No,1,2,150000,62660,500,100,35,Yes,No
11400253,Cook County Medical Examiner,IL,Medical examiner office,Cook County That Covers The City Of Chicago And Neighboring Suburbs,No,Yes,70,4,14723367,9000000,13000,6200,3500,Yes,No
11400254,Crawford County Coroner,IL,Coroner office,Crawford County,Not in short questionnaire,Not in short questionnaire,1,0,73000,Not in short questionnaire,65,18,15,Yes,Not in short questionnaire
11400256,Dekalb County Coroner,IL,Coroner office,Dekalb County Illinois,No,No,1,0,265700,119400,614,94,52,Yes,No
11400257,Dewitt County Coroner's Office,IL,Coroner office,"Dewitt County, Il.",No,No,1,2,60000,28000,65,41,18,No,Yes
11400258,Douglas County Coroner's Office,IL,Coroner office,Douglas County,Not in short questionnaire,Not in short questionnaire,1,0,104636,Not in short questionnaire,140,140,20,No,Not in short questionnaire
11400259,Dupage County Coroner,IL,Coroner office,"Dupage County, Illinois",No,Will be by 2020,16,3,1702861,Logical skip,5600,711,347,Yes,No
11400261,Edwards County Coroner,IL,Coroner office,Illinois Edwards County,No,No,2,4,35000,21000,60,60,6,No,No
11400262,Effingham County Coroner,IL,Coroner office,Effingham County,No,No,1,1,127000,61500,395,95,25,No,No
11400263,Fayette County Coroner,IL,Coroner office,Illinois State,Yes,Yes,2,1,100000,38000,59,56,19,No,No
11400264,Ford County Coroner,IL,Coroner office,Ford County,No,No,1,0,58750,5379,194,Logical skip,13,No,No
11400266,Fulton County Coroner's Office,IL,Coroner office,Fulton County Illinois,No,No,0,0,74000,44000,350,50,15,No,Yes
11400267,Gallatin County Coroner,IL,Coroner office,Gallatin County,Not in short questionnaire,Not in short questionnaire,0,4,35000,Not in short questionnaire,20,8,5,No,Not in short questionnaire
11400269,Grundy County Coroner's Office,IL,Coroner office,Grundy County,No,No,3,1,191021,Logical skip,335,60,42,Yes,No
11400274,Henry County Coroner,IL,Coroner office,Henry County,Not in short questionnaire,Not in short questionnaire,1,0,86603,Not in short questionnaire,325,80,20,No,Not in short questionnaire
11400275,Iroquois County Coroner,IL,Coroner office,Iroquois County,Yes,Yes,1,2,85000,47000,285,50,25,No,No
11400276,Jackson County Coroner,IL,Coroner office,Jackson County,No,No,2,1,62881,Blank or nonresponse,265,35,400,Yes,Yes
11400277,Jasper County Coroner,IL,Coroner office,Jasper County,No,No,4,0,45000,Logical skip,30,Logical skip,3,No,Yes
11400281,Johnson County Coroner's Office,IL,Coroner office,Johnson County,Not in short questionnaire,Not in short questionnaire,1,5,0,Not in short questionnaire,60,60,8,Yes,Not in short questionnaire
11400282,Kane County Coroner's Office,IL,Coroner office,"Kane County, Il",Yes,No,9,2,1096003,590815,3259,3259,235,Yes,No
11400283,Kankakee County Coroner,IL,Coroner office,County Of Kankakee,No,No,5,4,516500,266056,1276,Logical skip,94,Yes,No
11400284,Kendall County Coroner,IL,Coroner office,County Of Kendall - Illinois,No,Will be by 2020,2,0,175223,Logical skip,315,44,26,Yes,No
11400285,Knox County Coroner,IL,Coroner office,County Of Knox In The State Of Illinois,Yes,No,0,3,185000,51458,450,Logical skip,33,Yes,Yes
11400286,Lake County Coroner,IL,Coroner office,"Lake County, Illinois",Yes,No,11,1,1643510,877486,4974,513,364,Yes,No
11400287,Lasalle County Coroner,IL,Coroner office,"La Salle County Illinois,",No,No,5,9,469400,152917,1145,155,118,Yes,No
11400288,Lawrence County Coroner,IL,Coroner office,"Lawrence County, Illinois",No,No,0,0,55000,Blank or nonresponse,225,Logical skip,0,No,Yes
11400289,Lee County Coroner,IL,Coroner office,"Lee County, Il",No,No,2,3,118000,40000,Logical skip,Logical skip,64,No,No
11400290,Livingston County Coroner,IL,Coroner office,Livingston County Illinois,No,No,2,7,187020,97000,418,265,56,No,No
11400291,Logan County Coroner's Office,IL,Coroner office,Logan County,No,No,1,2,125000,63250,302,50,25,No,Yes
11400292,Macon County Coroner,IL,Coroner office,Macon County,No,No,3,1,218839,154779,636,636,0,No,No
11400293,Macoupin County Coroner,IL,Coroner office,"Macoupin County, Il",No,No,2,1,98000,63000,396,75,30,No,No
11400294,Madison County Coroner,IL,Coroner office,Madison County,No,No,11,0,1342300,803574,2577,473,122,Yes,No
11400295,Marion County Coroner,IL,Coroner office,"Marion County, Il",No,No,1,1,71000,45000,500,500,11,Yes,No
11400296,Marshall County Coroner,IL,Coroner office,Marshall County Illinois Usa,No,No,1,1,41579,Logical skip,115,26,14,No,Yes
11400297,Mason County Coroner,IL,Coroner office,Mason County,Not in short questionnaire,Not in short questionnaire,1,0,36000,Not in short questionnaire,25,94,12,No,Not in short questionnaire
11400298,Massac County Coroner,IL,Coroner office,Massac County,Not in short questionnaire,Not in short questionnaire,2,0,60000,Not in short questionnaire,250,250,10,Yes,Not in short questionnaire
11400299,McDonough County Coroner,IL,Coroner office,"Mcdonough County, Illinois",No,No,1,6,88000,33000,250,110,6,Yes,No
11400300,McHenry County Coroner,IL,Coroner office,Mchenry County Il.,No,No,5,0,500000,Blank or nonresponse,2000,Logical skip,111,No,No
11400301,McLean County Coroner,IL,Coroner office,Mclean County Illinois,No,No,5,12,680000,316264,1326,240,140,Yes,No
11400302,Menard County Coroner,IL,Coroner office,Menard County,No,No,1,2,29965,2000,11,1,10,Yes,Yes
11400304,Monroe County Coroner,IL,Coroner office,"Monroe County, Illinois",No,No,1,3,100000,Logical skip,200,40,6,Yes,No
11400305,Montgomery County Coroner,IL,Coroner office,"Montgomery County, Illinois",No,No,1,0,84714,39797,262,37,25,No,No
11400306,Morgan County Coroner's Office,IL,Coroner office,Morgan County,Not in short questionnaire,Not in short questionnaire,0,0,2100000,Not in short questionnaire,Logical skip,Logical skip,35,Yes,Not in short questionnaire
11400307,Moultrie County Coroner,IL,Coroner office,Moultrie County Illinois,No,No,1,0,64000,7500,Logical skip,100,8,No,Yes
11400308,Ogle County Coroner,IL,Coroner office,Ogle County,No,No,3,2,214676,Logical skip,419,45,36,No,No
11400309,Peoria County Coroner,IL,Coroner office,Peoria County,No,No,5,4,850000,419000,2970,800,204,Yes,No
11400310,Perry County Coroner,IL,Coroner office,Perry County,Not in short questionnaire,Not in short questionnaire,1,0,55000,Not in short questionnaire,225,225,17,No,Not in short questionnaire
11400311,Piatt County Coroner,IL,Coroner office,Piatt County,No,No,0,0,42000,20800,115,Logical skip,10,Yes,No
11400312,Pike County Sheriff's Office/Pike County Coroner's Office,IL,Sheriff-coroner office,Pike County,No,No,1,0,34491,Logical skip,130,130,6,Yes,No
11400314,Pulaski County Coroner,IL,Coroner office,Pulaski County,Not in short questionnaire,Not in short questionnaire,0,0,20000,Not in short questionnaire,Logical skip,Logical skip,3,No,Not in short questionnaire
11400315,Putnam County Coroner's Office,IL,Coroner office,Putnam County,Not in short questionnaire,Not in short questionnaire,6,0,25000,Not in short questionnaire,25,25,6,No,Not in short questionnaire
11400316,Randolph County Coroner,IL,Coroner office,Randolph County,No,No,2,6,192445,125798,315,278,18,No,No
11400317,Richland County Coroner,IL,Coroner office,"Richland Co., Il",No,No,0,3,70150,20700,47,Logical skip,6,No,Yes
11400318,Rock Island County Coroner,IL,Coroner office,Rock Island County,Yes,Yes,3,0,0,Blank or nonresponse,1531,341,42,Yes,No
11400319,Saline County Coroner's Office,IL,Coroner office,"Saline County, Illinois",No,No,4,0,58235,55394,225,225,12,No,No
11400320,Sangamon County Coroner,IL,Coroner office,Sangamon County Illinois,No,No,4,0,600000,250000,2437,494,199,Yes,No
11400321,Schuyler County Coroner's Office,IL,Coroner office,Schuyler County,No,No,0,5,42679,16800,67,30,12,Yes,No
11400322,Scott County Sheriff/Coroner's Office,IL,Sheriff-coroner office,Scott County,Will be by 2020,No,3,0,0,Logical skip,30,10,4,No,No
11400323,Shelby County Coroner,IL,Coroner office,"Shelby County, Il",No,No,1,0,89000,47090,150,150,20,No,Yes
11400324,St. Clair County Coroner,IL,Coroner office,St. Clair County Illinois,Yes,No,7,5,530087,324000,2288,Logical skip,95,Yes,No
11400325,Stark County Sheriff's Office,IL,Sheriff-coroner office,Stark County,Yes,Yes,4,3,26700,Blank or nonresponse,25,Logical skip,4,No,No
11400326,Stephenson County Coroner's Office,IL,Coroner office,"Stephenson County, Illinois",No,No,2,0,180000,84000,400,300,40,Yes,No
11400327,Tazewell County Coroner Office,IL,Coroner office,"Tazewell County, Illinois",No,No,3,5,392527,257602,958,958,55,Yes,No
11400328,Union County Coroner's Office,IL,Coroner office,"Union County, Illinois",No,No,1,0,40000,20600,Logical skip,Logical skip,20,No,Yes
11400329,Vermilion County Coroner,IL,Coroner office,"Vermilion County, Illinois",No,No,2,6,242210,133210,686,224,44,Yes,No
11400330,Wabash County Coroner,IL,Coroner office,Wabash County Illinois,No,No,1,1,41000,Logical skip,86,24,8,No,Yes
11400331,Warren County Coroner,IL,Coroner office,"State Of Illinois, Warren County Illinois",No,No,1,0,40000,24000,132,13,12,No,Yes
11400332,Washington County Coroner,IL,Coroner office,"Washington County, Illinois",No,No,1,0,34000,21000,123,39,3,No,Yes
11400333,Wayne County Coroner's Office,IL,Coroner office,Wayne County,No,No,0,0,40000,15000,150,95,5,No,Yes
11400334,White County Coroner,IL,Coroner office,White County Illinois,No,No,1,0,39370,22225,158,139,5,No,No
11400335,Whiteside County Coroner,IL,Coroner office,Whiteside County; State Of Illinois,No,Blank or nonresponse,0,2,114500,61594,518,94,47,No,No
11400336,Will County Coroner,IL,Coroner office,"Will County, Illinois",No,No,15,2,2014749,1500297,3971,434,324,Yes,No
11400337,Williamson County Coroner,IL,Coroner office,Williamson County,Yes,No,2,0,203585,Logical skip,Logical skip,Logical skip,40,No,No
11400338,Winnebago County Coroner,IL,Coroner office,"Winnebago County, Il.",No,No,11,0,1043587,652128,3045,3045,373,Yes,No
11400339,Woodford County Coroner,IL,Coroner office,Woodford County,Not in short questionnaire,Not in short questionnaire,1,7,75028,Not in short questionnaire,473,86,15,No,Not in short questionnaire
11400340,Jefferson County Coroner,IL,Coroner office,Jefferson County Illinois,No,No,2,0,73000,42000,122,30,27,Yes,No
11500340,Adams County Coroner,IN,Coroner office,Adams County,Not in short questionnaire,Not in short questionnaire,0,0,55000,Not in short questionnaire,60,32,14,No,Not in short questionnaire
11500341,Allen County Coroner,IN,Coroner office,"Allen County, Indiana",No,No,3,5,692620,348473,2500,650,285,Yes,No
11500343,Benton County Coroner,IN,Coroner office,Benton County,No,No,0,5,28425,16475,15,15,6,No,No
11500345,Boone County Coroner,IN,Coroner office,Boone County,Not in short questionnaire,Not in short questionnaire,0,8,164959,Not in short questionnaire,116,110,97,Yes,Not in short questionnaire
11500346,Brown County Coroner,IN,Coroner office,Brown County Indiana,Yes,Yes,1,1,29000,16000,35,35,4,Yes,Yes
11500347,Carroll County Coroner,IN,Coroner office,"Carroll County, Indiana",No,No,0,0,24000,8000,20,15,12,Yes,No
11500348,Cass County Coroner,IN,Coroner office,Cass County Indiana,No,No,0,1,66972,25547,86,86,16,No,No
11500349,Clark County Coroner's Office,IN,Coroner office,"Clark County, Indiana",No,Yes,1,3,200000,36800,Logical skip,Logical skip,70,Yes,Yes
11500350,Clay County Coroner,IN,Coroner office,Clay County Indiana,No,No,0,0,60482,13282,Logical skip,Logical skip,27,No,Yes
11500352,Crawford County Coroner's Office,IN,Coroner office,"Crawford County, Indiana",No,No,0,1,13866,500,16,Logical skip,5,No,Yes
11500353,Daviess County Coroner,IN,Coroner office,Daviess County Indiana,No,No,1,2,65187,30187,45,Logical skip,34,Yes,Yes
11500354,Dearborn County Coroner's Office,IN,Coroner office,Dearborn County Indiana,No,No,0,2,98000,28854,Logical skip,Logical skip,61,Yes,Yes
11500355,Decatur County Coroner,IN,Coroner office,Decatur County,No,No,1,1,140000,46722,45,Logical skip,14,Yes,No
11500356,Dekalb County Coroner's Office,IN,Coroner office,"Dekalb County, Indiana",No,No,0,6,85000,18000,Logical skip,Logical skip,30,Yes,No
11500359,Elkhart County Coroner,IN,Coroner office,Elkhart County Indiana,No,No,2,1,400000,100000,200,200,80,Yes,Yes
11500360,Fayette County Coroner's Office,IN,Coroner office,Fayette County,Yes,Yes,1,0,45000,Logical skip,60,60,28,Yes,Yes
11500362,Fountain County Coroner's Office,IN,Coroner office,Fountain County,No,No,1,1,38000,14100,28,26,9,Yes,No
11500364,Fulton County Coroner,IN,Coroner office,Fulton County -- Indiana,No,Yes,0,0,56448,21658,62,56,11,No,Yes
11500366,Grant County Coroner's Office,IN,Coroner office,Grant County,Not in short questionnaire,Not in short questionnaire,0,6,86000,Not in short questionnaire,242,226,35,No,Not in short questionnaire
11500367,Greene County Coroner,IN,Coroner office,Greene County,No,No,0,3,60000,5000,46,22,8,Yes,No
11500368,Hamilton County Coroner,IN,Coroner office,Hamilton County,No,No,2,7,601000,268000,422,422,136,Yes,No
11500369,Hancock County Coroner,IN,Coroner office,Hancock County Of Indiana,No,No,0,0,114240,29540,Logical skip,90,27,Yes,Yes
11500370,Harrison County Coroner's Office,IN,Coroner office,Harrison County Indiana,No,No,1,0,90356,11500,96,96,20,Yes,No
11500373,Howard County Coroner's Office,IN,Coroner office,"Howard County, Indiana",No,No,3,3,294617,137917,315,203,109,Yes,No
11500374,Huntington County Coroner's Office,IN,Coroner office,Huntington County,Not in short questionnaire,Not in short questionnaire,0,5,100000,Not in short questionnaire,72,56,32,Yes,Not in short questionnaire
11500376,Jasper County Coroner,IN,Coroner office,State Indiana County Of Jasper,No,No,1,12,120000,0,75,75,6,No,Yes
